"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"MCCULLOCH","2F03",1266,"3/29/1940",38,112,NA,85,29,"April_1",132
"POWELL RIVER (LOWER)","3A05",882,"3/29/1940",61,218,NA,33,36,"April_1",651
"FARRON","2B02",1220,"3/30/1940",66,231,NA,63,35,"April_1",364
"GERRARD","2D01",1620,"3/30/1940",97,239,NA,NA,25,"April_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"3/30/1940",142,518,NA,53,36,"April_1",969
"REVELSTOKE","2B01",560,"3/31/1940",10,36,NA,24,36,"April_1",150
"SANDON","2D03",1072,"3/31/1940",43,168,NA,51,39,"April_1",330
"BLUE RIVER","1E01",690,"4/1/1940",41,104,NA,29,25,"April_1",362
"FIELD","2A03A",1310,"1/28/1941",61,107,NA,87,18,"February_1",123
"FARRON","2B02",1220,"1/29/1941",89,218,NA,81,24,"February_1",269
"MCCULLOCH","2F03",1266,"1/29/1941",48,117,NA,100,24,"February_1",117
"GLACIER","2A02",1249,"1/30/1941",132,363,NA,78,28,"February_1",468
"FERNIE","2C02",1070,"1/30/1941",61,147,NA,115,24,"February_1",128
"NELSON","2D04",952,"1/30/1941",94,236,NA,89,25,"February_1",264
"TROUT CREEK","2F01",1428,"1/30/1941",43,79,NA,62,18,"February_1",127
"REVELSTOKE","2B01",560,"1/31/1941",76,183,NA,96,24,"February_1",190
"FARRON","2B02",1220,"2/26/1941",91,249,NA,79,27,"March_1",317
"TROUT CREEK","2F01",1428,"2/26/1941",48,94,NA,60,20,"March_1",156
"CANOE RIVER","2A01",1040,"2/27/1941",33,74,NA,NA,22,"March_1",NA
"GLACIER","2A02",1249,"2/27/1941",140,422,NA,72,30,"March_1",585
"FERNIE","2C02",1070,"2/27/1941",61,150,NA,103,25,"March_1",145
"NELSON","2D04",952,"2/27/1941",102,251,NA,77,25,"March_1",328
"MCCULLOCH","2F03",1266,"2/27/1941",53,117,NA,80,22,"March_1",146
"CANOE RIVER","2A01A",866,"2/28/1941",41,86,NA,97,21,"March_1",89
"FIELD","2A03A",1310,"2/28/1941",66,130,"A",88,20,"March_1",147
"REVELSTOKE","2B01",560,"2/28/1941",76,231,NA,101,30,"March_1",228
"KIMBERLEY","2C03",1160,"2/28/1941",43,112,NA,NA,26,"March_1",NA
"BLUE RIVER","1E01",690,"3/1/1941",NA,NA,"N",NA,NA,"March_1",NA
"TROUT CREEK","2F01",1428,"3/22/1941",33,79,"B",49,24,"April_1",161
"UPPER STAVE RIVER","1D03",140,"3/24/1941",0,0,"B",NA,NA,"April_1",NA
"ALOUETTE LAKE","1D04",460,"3/24/1941",0,0,"B",NA,NA,"April_1",NA
"CYPRESS LAKE","1D02",340,"3/25/1941",0,0,NA,NA,NA,"April_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"3/25/1941",127,467,NA,48,37,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/25/1941",23,86,NA,13,37,"April_1",651
"MISSION CREEK","2F05",1780,"3/26/1941",117,335,NA,69,29,"April_1",485
"ABERDEEN LAKE","1F01A",1262,"3/27/1941",25,86,NA,69,34,"April_1",124
"CANOE RIVER","2A01A",866,"3/27/1941",15,41,NA,63,27,"April_1",65
"SINCLAIR PASS","2C01",1374,"3/27/1941",10,36,NA,33,36,"April_1",109
"POWELL RIVER","3A04",670,"3/27/1941",0,0,NA,NA,NA,"April_1",NA
"POWELL RIVER","3A06",810,"3/27/1941",41,157,NA,NA,38,"April_1",NA
"CANOE RIVER","2A01",1040,"3/28/1941",5,13,NA,NA,26,"April_1",NA
"INVERMERE","2A04A",1070,"3/28/1941",13,56,NA,NA,43,"April_1",NA
"FARRON","2B02",1220,"3/28/1941",20,58,NA,16,29,"April_1",364
"MCCULLOCH","2F03",1266,"3/28/1941",25,94,NA,71,38,"April_1",132
"GROUSE MOUNTAIN","3A01",1126,"3/28/1941",76,376,NA,32,49,"April_1",1160
"POWELL RIVER","3A03",940,"3/28/1941",203,927,NA,NA,46,"April_1",NA
"FERNIE","2C02",1070,"3/29/1941",20,69,NA,73,35,"April_1",95
"GERRARD","2D01",1620,"3/29/1941",71,323,NA,NA,45,"April_1",NA
"FERGUSON","2D02",929,"3/29/1941",69,257,NA,47,37,"April_1",550
"NELSON","2D04",952,"3/29/1941",38,137,NA,41,36,"April_1",334
"GLACIER","2A02",1249,"3/30/1941",104,450,NA,67,43,"April_1",670
"BLUE RIVER","1E01",690,"3/31/1941",53,137,NA,38,26,"April_1",362
"FIELD","2A03A",1310,"3/31/1941",15,48,NA,35,32,"April_1",137
"REVELSTOKE","2B01",560,"3/31/1941",5,23,NA,15,46,"April_1",150
"KIMBERLEY","2C03",1160,"3/31/1941",5,25,"A",NA,50,"April_1",NA
"SANDON","2D03",1072,"3/31/1941",18,71,NA,22,39,"April_1",330
"TROUT CREEK","2F01",1428,"1/28/1942",30,51,NA,40,17,"February_1",127
"FARRON","2B02",1220,"1/29/1942",66,114,NA,42,17,"February_1",269
"GLACIER","2A02",1249,"1/30/1942",97,241,NA,51,25,"February_1",468
"NELSON","2D04",952,"1/30/1942",46,94,NA,36,20,"February_1",264
"MCCULLOCH","2F03",1266,"1/30/1942",41,81,NA,69,20,"February_1",117
"FIELD","2A03A",1310,"1/31/1942",33,53,NA,43,16,"February_1",123
"REVELSTOKE","2B01",560,"1/31/1942",23,51,NA,27,22,"February_1",190
"FERNIE","2C02",1070,"1/31/1942",23,58,NA,45,25,"February_1",128
"TROUT CREEK","2F01",1428,"2/25/1942",48,79,NA,51,16,"March_1",156
"FARRON","2B02",1220,"2/26/1942",89,180,NA,57,20,"March_1",317
"CANOE RIVER","2A01",1040,"2/27/1942",23,30,NA,NA,13,"March_1",NA
"GLACIER","2A02",1249,"2/27/1942",102,251,NA,43,25,"March_1",585
"FERNIE","2C02",1070,"2/27/1942",41,97,NA,67,24,"March_1",145
"NELSON","2D04",952,"2/27/1942",63,147,NA,45,23,"March_1",328
"MCCULLOCH","2F03",1266,"2/27/1942",53,107,NA,73,20,"March_1",146
"CANOE RIVER","2A01A",866,"2/28/1942",36,58,NA,65,16,"March_1",89
"FIELD","2A03A",1310,"2/28/1942",36,53,NA,36,15,"March_1",147
"REVELSTOKE","2B01",560,"2/28/1942",41,81,NA,36,20,"March_1",228
"KIMBERLEY","2C03",1160,"2/28/1942",48,76,NA,NA,16,"March_1",NA
"BLUE RIVER","1E01",690,"3/1/1942",NA,NA,"N",NA,NA,"March_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"3/24/1942",246,716,"B",74,29,"April_1",969
"POWELL RIVER (LOWER)","3A05",882,"3/24/1942",170,414,"B",64,24,"April_1",651
"ALOUETTE LAKE","1D04",460,"3/26/1942",13,33,NA,NA,25,"April_1",NA
"POWELL RIVER","3A03",940,"3/26/1942",335,1176,NA,NA,35,"April_1",NA
"POWELL RIVER","3A06",810,"3/26/1942",198,582,NA,NA,29,"April_1",NA
"CYPRESS LAKE","1D02",340,"3/27/1942",0,0,NA,NA,NA,"April_1",NA
"CANOE RIVER","2A01A",866,"3/27/1942",38,69,NA,106,18,"April_1",65
"SUMMERLAND RESERVOIR","2F02",1304,"3/27/1942",53,122,NA,62,23,"April_1",197
"MISSION CREEK","2F05",1780,"3/27/1942",109,302,NA,62,28,"April_1",485
"POWELL RIVER","3A04",670,"3/27/1942",79,224,NA,NA,28,"April_1",NA
"UPPER STAVE RIVER","1D03",140,"3/28/1942",0,0,NA,NA,NA,"April_1",NA
"ABERDEEN LAKE","1F01A",1262,"3/28/1942",41,81,NA,65,20,"April_1",124
"CANOE RIVER","2A01",1040,"3/28/1942",25,46,NA,NA,18,"April_1",NA
"TROUT CREEK","2F01",1428,"3/28/1942",48,91,NA,57,19,"April_1",161
"GLACIER","2A02",1249,"3/29/1942",127,376,NA,56,30,"April_1",670
"SINCLAIR PASS","2C01",1374,"3/29/1942",38,117,NA,107,31,"April_1",109
"FERGUSON","2D02",929,"3/29/1942",74,142,NA,26,19,"April_1",550
"INVERMERE","2A04A",1070,"3/30/1942",38,109,NA,NA,29,"April_1",NA
"FARRON","2B02",1220,"3/30/1942",58,165,NA,45,28,"April_1",364
"FERNIE","2C02",1070,"3/30/1942",38,137,NA,144,36,"April_1",95
"GERRARD","2D01",1620,"3/30/1942",86,155,NA,NA,18,"April_1",NA
"MCCULLOCH","2F03",1266,"3/30/1942",43,107,NA,81,25,"April_1",132
"GROUSE MOUNTAIN","3A01",1126,"3/30/1942",168,759,NA,65,45,"April_1",1160
"BLUE RIVER","1E01",690,"3/31/1942",58,71,NA,20,12,"April_1",362
"FIELD","2A03A",1310,"3/31/1942",25,58,NA,42,23,"April_1",137
"REVELSTOKE","2B01",560,"3/31/1942",28,79,NA,53,28,"April_1",150
"SANDON","2D03",1072,"3/31/1942",56,160,NA,48,29,"April_1",330
"NELSON","2D04",952,"3/31/1942",58,170,NA,51,29,"April_1",334
"KIMBERLEY","2C03",1160,"4/1/1942",30,107,NA,NA,36,"April_1",NA
"BLUE RIVER","1E01",690,"1/25/1943",66,150,NA,NA,23,"February_1",NA
"REVELSTOKE","2B01",560,"1/27/1943",102,211,NA,111,21,"February_1",190
"FIELD","2A03A",1310,"1/28/1943",58,112,NA,91,19,"February_1",123
"FARRON","2B02",1220,"1/28/1943",107,229,NA,85,21,"February_1",269
"GLACIER","2A02",1249,"1/29/1943",132,358,NA,76,27,"February_1",468
"NELSON","2D04",952,"1/29/1943",152,335,NA,127,22,"February_1",264
"FERNIE","2C02",1070,"1/30/1943",97,206,NA,161,21,"February_1",128
"TROUT CREEK","2F01",1428,"1/30/1943",69,127,NA,100,18,"February_1",127
"MCCULLOCH","2F03",1266,"1/31/1943",74,150,NA,128,20,"February_1",117
"CANOE RIVER","2A01A",866,"2/25/1943",61,132,NA,148,22,"March_1",89
"REVELSTOKE","2B01",560,"2/25/1943",86,290,NA,127,34,"March_1",228
"FARRON","2B02",1220,"2/25/1943",97,277,NA,87,29,"March_1",317
"GLACIER","2A02",1249,"2/26/1943",142,417,NA,71,29,"March_1",585
"FERNIE","2C02",1070,"2/26/1943",86,262,NA,181,30,"March_1",145
"NELSON","2D04",952,"2/26/1943",132,414,NA,126,31,"March_1",328
"KIMBERLEY","2C03",1160,"2/27/1943",76,155,NA,NA,20,"March_1",NA
"TROUT CREEK","2F01",1428,"2/27/1943",66,122,NA,78,18,"March_1",156
"MCCULLOCH","2F03",1266,"2/27/1943",71,173,NA,118,24,"March_1",146
"BLUE RIVER","1E01",690,"2/28/1943",86,221,NA,NA,26,"March_1",NA
"FIELD","2A03A",1310,"2/28/1943",61,122,NA,83,20,"March_1",147
"KINBASKET LAKE","2A05",690,"3/24/1943",79,229,NA,NA,29,"April_1",NA
"FERNIE","2C02",1070,"3/25/1943",81,251,NA,264,31,"April_1",95
"SINCLAIR PASS","2C01",1374,"3/26/1943",63,183,NA,168,29,"April_1",109
"SUMMERLAND RESERVOIR","2F02",1304,"3/26/1943",91,246,NA,125,27,"April_1",197
"ALOUETTE LAKE","1D04",460,"3/27/1943",3,15,NA,NA,50,"April_1",NA
"TROUT CREEK","2F01",1428,"3/27/1943",74,188,NA,117,25,"April_1",161
"CYPRESS LAKE","1D02",340,"3/28/1943",127,544,NA,NA,43,"April_1",NA
"CANOE RIVER","2A01A",866,"3/28/1943",56,124,NA,191,22,"April_1",65
"UPPER STAVE RIVER","1D03",140,"3/29/1943",69,292,NA,NA,42,"April_1",NA
"FERGUSON","2D02",929,"3/29/1943",145,394,NA,72,27,"April_1",550
"MISSION CREEK","2F05",1780,"3/29/1943",157,518,NA,107,33,"April_1",485
"INVERMERE","2A04A",1070,"3/30/1943",71,175,NA,NA,25,"April_1",NA
"FARRON","2B02",1220,"3/30/1943",99,239,NA,66,24,"April_1",364
"GERRARD","2D01",1620,"3/30/1943",152,475,NA,NA,31,"April_1",NA
"BLUE RIVER","1E01",690,"3/31/1943",84,234,NA,65,28,"April_1",362
"ABERDEEN LAKE","1F01A",1262,"3/31/1943",66,137,NA,110,21,"April_1",124
"FIELD","2A03A",1310,"3/31/1943",43,84,NA,61,20,"April_1",137
"KIMBERLEY","2C03",1160,"3/31/1943",71,145,NA,NA,20,"April_1",NA
"SANDON","2D03",1072,"3/31/1943",102,333,NA,101,33,"April_1",330
"NELSON","2D04",952,"3/31/1943",137,455,NA,136,33,"April_1",334
"MCCULLOCH","2F03",1266,"3/31/1943",74,155,NA,117,21,"April_1",132
"GROUSE MOUNTAIN","3A01",1126,"3/31/1943",257,1039,NA,90,40,"April_1",1160
"REVELSTOKE","2B01",560,"4/1/1943",69,257,NA,171,37,"April_1",150
"POWELL RIVER (UPPER)","3A02",1002,"4/1/1943",NA,NA,"N",NA,NA,"April_1",NA
"POWELL RIVER (LOWER)","3A05",882,"4/1/1943",NA,NA,"N",NA,NA,"April_1",NA
"GLACIER","2A02",1249,"4/2/1943",173,569,NA,85,33,"April_1",670
"REVELSTOKE","2B01",560,"1/28/1944",61,152,NA,80,25,"February_1",190
"NELSON","2D04",952,"1/28/1944",63,135,NA,51,21,"February_1",264
"GLACIER","2A02",1249,"1/29/1944",119,305,NA,65,26,"February_1",468
"TROUT CREEK","2F01",1428,"1/29/1944",28,48,NA,38,17,"February_1",127
"BLUE RIVER","1E01",690,"1/30/1944",58,155,NA,NA,27,"February_1",NA
"FIELD","2A03A",1310,"1/31/1944",41,76,NA,62,19,"February_1",123
"FARRON","2B02",1220,"1/31/1944",69,163,NA,61,24,"February_1",269
"FERNIE","2C02",1070,"1/31/1944",15,46,NA,36,31,"February_1",128
"MCCULLOCH","2F03",1266,"1/31/1944",38,81,NA,69,21,"February_1",117
"BLUE RIVER","1E01",690,"2/25/1944",79,203,NA,NA,26,"March_1",NA
"TROUT CREEK","2F01",1428,"2/26/1944",66,84,NA,54,13,"March_1",156
"FARRON","2B02",1220,"2/27/1944",81,211,NA,67,26,"March_1",317
"CANOE RIVER","2A01A",866,"2/28/1944",38,66,NA,74,17,"March_1",89
"REVELSTOKE","2B01",560,"2/28/1944",63,188,NA,82,30,"March_1",228
"FERNIE","2C02",1070,"2/28/1944",30,74,NA,51,25,"March_1",145
"NELSON","2D04",952,"2/28/1944",79,196,NA,60,25,"March_1",328
"GLACIER","2A02",1249,"2/29/1944",119,363,NA,62,31,"March_1",585
"FIELD","2A03A",1310,"2/29/1944",51,99,NA,67,19,"March_1",147
"KIMBERLEY","2C03",1160,"2/29/1944",33,61,NA,NA,18,"March_1",NA
"MCCULLOCH","2F03",1266,"2/29/1944",61,137,NA,94,22,"March_1",146
"TASHME","3D01",670,"2/29/1944",18,33,NA,NA,18,"March_1",NA
"KINBASKET LAKE","2A05",690,"3/23/1944",86,290,NA,NA,34,"April_1",NA
"POWELL RIVER","3A03",940,"3/23/1944",274,1034,NA,NA,38,"April_1",NA
"POWELL RIVER","3A06",810,"3/23/1944",147,404,NA,NA,27,"April_1",NA
"SINCLAIR PASS","2C01",1374,"3/24/1944",28,58,"B",53,21,"April_1",109
"POWELL RIVER","3A04",670,"3/24/1944",69,137,NA,NA,20,"April_1",NA
"CANOE RIVER","2A01A",866,"3/27/1944",36,74,NA,114,21,"April_1",65
"INVERMERE","2A04A",1070,"3/27/1944",30,61,NA,NA,20,"April_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"3/27/1944",56,132,NA,67,24,"April_1",197
"ALOUETTE LAKE","1D04",460,"3/28/1944",0,0,NA,NA,NA,"April_1",NA
"REVELSTOKE","2B01",560,"3/28/1944",58,206,NA,137,36,"April_1",150
"TROUT CREEK","2F01",1428,"3/28/1944",56,109,NA,68,19,"April_1",161
"MCCULLOCH","2F03",1266,"3/28/1944",66,163,NA,123,25,"April_1",132
"CYPRESS LAKE","1D02",340,"3/29/1944",0,0,NA,NA,NA,"April_1",NA
"GLACIER","2A02",1249,"3/29/1944",155,470,NA,70,30,"April_1",670
"FARRON","2B02",1220,"3/29/1944",61,198,NA,54,32,"April_1",364
"BLUE RIVER","1E01",690,"3/30/1944",76,198,NA,55,26,"April_1",362
"UPPER STAVE RIVER","1D03",140,"3/30/1944",0,0,NA,NA,NA,"April_1",NA
"ABERDEEN LAKE","1F01A",1262,"3/30/1944",51,130,NA,105,25,"April_1",124
"FERNIE","2C02",1070,"3/30/1944",18,79,NA,83,44,"April_1",95
"FERGUSON","2D02",929,"3/30/1944",114,368,NA,67,32,"April_1",550
"MISSION CREEK","2F05",1780,"3/30/1944",145,424,NA,87,29,"April_1",485
"FIELD","2A03A",1310,"3/31/1944",48,109,NA,80,23,"April_1",137
