"Snow_Course_Name","Number","Elevation_metres","Date_of_Survey","Snow_Depth_cm","Water_Equiv_mm","Survey_Code","percent_Normal","Density_pecent","Survey_Period","Normal_mm"
"GERRARD","2D01",1620,"3/22/1935",152,389,"B",NA,26,"April_1",NA
"COQUITLAM LAKE","1D01",300,"3/23/1935",3,3,"B",0,10,"April_1",1272
"TROUT CREEK","2F01",1428,"3/28/1935",91,246,NA,153,27,"April_1",161
"SUMMERLAND RESERVOIR","2F02",1304,"3/30/1935",94,259,NA,131,28,"April_1",197
"GRAYSTOKE LAKE","2F04",1818,"4/3/1935",122,320,NA,94,26,"April_1",339
"MCCULLOCH","2F03",1266,"4/5/1935",79,188,NA,142,24,"April_1",132
"SINCLAIR PASS","2C01",1374,"3/4/1936",48,89,NA,86,19,"March_1",103
"GERRARD","2D01",1620,"3/22/1936",163,401,"B",NA,25,"April_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"3/22/1936",74,185,"B",94,25,"April_1",197
"GROUSE MOUNTAIN","3A01",1126,"3/23/1936",320,1316,"B",113,41,"April_1",1160
"CYPRESS LAKE","1D02",340,"3/26/1936",109,432,NA,NA,40,"April_1",NA
"SINCLAIR PASS","2C01",1374,"3/26/1936",43,102,NA,94,24,"April_1",109
"MCCULLOCH","2F03",1266,"4/1/1936",NA,NA,"N",NA,NA,"April_1",NA
"MCCULLOCH","2F03",1266,"1/25/1937",63,102,NA,87,16,"February_1",117
"TROUT CREEK","2F01",1428,"1/28/1937",63,102,NA,80,16,"February_1",127
"GLACIER","2A02",1249,"3/22/1937",124,371,"B",55,30,"April_1",670
"ABERDEEN LAKE","1F01",1310,"3/23/1937",79,224,"B",NA,28,"April_1",NA
"FIELD","2A03",1160,"3/24/1937",36,81,"B",NA,23,"April_1",NA
"GERRARD","2D01",1620,"3/28/1937",102,295,NA,NA,29,"April_1",NA
"UPPER STAVE RIVER","1D03",140,"3/31/1937",53,251,NA,NA,47,"April_1",NA
"CYPRESS LAKE","1D02",340,"4/1/1937",89,422,NA,NA,47,"April_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"4/1/1937",NA,NA,"N",NA,NA,"April_1",NA
"MCCULLOCH","2F03",1266,"4/1/1937",NA,NA,"N",NA,NA,"April_1",NA
"GROUSE MOUNTAIN","3A01",1126,"4/1/1937",239,1143,NA,99,48,"April_1",1160
"ALOUETTE LAKE","1D04",460,"4/2/1937",36,173,NA,NA,48,"April_1",NA
"MCCULLOCH","2F03",1266,"1/28/1938",66,178,NA,152,27,"February_1",117
"TROUT CREEK","2F01",1428,"2/2/1938",74,198,NA,156,27,"February_1",127
"NELSON","2D04",952,"2/5/1938",127,292,NA,111,23,"February_1",264
"SANDON","2D03",1072,"2/8/1938",97,264,"B",NA,27,"February_1",NA
"FIELD","2A03",1160,"2/23/1938",74,157,NA,NA,21,"March_1",NA
"GLACIER","2A02",1249,"2/26/1938",165,620,NA,106,38,"March_1",585
"REVELSTOKE","2B01",560,"2/28/1938",84,257,NA,113,31,"March_1",228
"INVERMERE","2A04",1040,"3/2/1938",46,104,NA,NA,23,"March_1",NA
"BLUE RIVER","1E01",690,"3/8/1938",89,259,"B",NA,29,"March_1",NA
"ALOUETTE LAKE","1D04",460,"3/23/1938",28,117,"B",NA,42,"April_1",NA
"CYPRESS LAKE","1D02",340,"3/24/1938",81,351,"B",NA,43,"April_1",NA
"UPPER STAVE RIVER","1D03",140,"3/25/1938",28,130,NA,NA,46,"April_1",NA
"CANOE RIVER","2A01",1040,"3/26/1938",33,86,NA,NA,26,"April_1",NA
"FERNIE","2C02",1070,"3/26/1938",74,234,NA,246,32,"April_1",95
"FERGUSON","2D02",929,"3/27/1938",147,577,NA,105,39,"April_1",550
"POWELL RIVER (UPPER)","3A02",1002,"3/27/1938",325,1509,NA,156,46,"April_1",969
"FIELD","2A03",1160,"3/28/1938",53,127,NA,NA,24,"April_1",NA
"INVERMERE","2A04",1040,"3/28/1938",23,79,NA,NA,34,"April_1",NA
"FARRON","2B02",1220,"3/28/1938",117,401,NA,110,34,"April_1",364
"SANDON","2D03",1072,"3/28/1938",94,323,NA,98,34,"April_1",330
"SINCLAIR PASS","2C01",1374,"3/29/1938",43,203,NA,186,47,"April_1",109
"KIMBERLEY","2C03",1160,"3/29/1938",71,259,NA,NA,36,"April_1",NA
"GERRARD","2D01",1620,"3/29/1938",160,427,NA,NA,27,"April_1",NA
"NELSON","2D04",952,"3/29/1938",97,330,NA,99,34,"April_1",334
"BLUE RIVER","1E01",690,"3/30/1938",74,231,NA,64,31,"April_1",362
"GLACIER","2A02",1249,"3/31/1938",173,663,NA,99,38,"April_1",670
"REVELSTOKE","2B01",560,"4/1/1938",43,201,NA,134,47,"April_1",150
"MCCULLOCH","2F03",1266,"4/1/1938",NA,NA,"N",NA,NA,"April_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"4/2/1938",91,305,NA,155,34,"April_1",197
"TROUT CREEK","2F01",1428,"4/3/1938",79,249,NA,155,32,"April_1",161
"GROUSE MOUNTAIN","3A01",1126,"4/3/1938",292,1229,NA,106,42,"April_1",1160
"POWELL RIVER","3A03",940,"4/3/1938",312,1173,NA,NA,38,"April_1",NA
"NELSON","2D04",952,"2/1/1939",NA,NA,"N",NA,NA,"February_1",NA
"MCCULLOCH","2F03",1266,"2/8/1939",74,157,"B",134,21,"February_1",117
"BLUE RIVER","1E01",690,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"GLACIER","2A02",1249,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"REVELSTOKE","2B01",560,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"FERNIE","2C02",1070,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"KIMBERLEY","2C03",1160,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"MCCULLOCH","2F03",1266,"3/1/1939",NA,NA,"N",NA,NA,"March_1",NA
"UPPER STAVE RIVER","1D03",140,"3/22/1939",53,221,"B",NA,42,"April_1",NA
"CANOE RIVER","2A01",1040,"3/22/1939",18,46,"B",NA,26,"April_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"3/22/1939",69,216,"B",110,31,"April_1",197
"TROUT CREEK","2F01",1428,"3/23/1939",53,168,"B",104,32,"April_1",161
"ABERDEEN LAKE","1F01A",1262,"3/24/1939",69,203,"B",164,29,"April_1",124
"FIELD","2A03",1160,"3/24/1939",43,104,"B",NA,24,"April_1",NA
"INVERMERE","2A04",1040,"3/24/1939",10,25,"B",NA,25,"April_1",NA
"MISSION CREEK","2F05",1780,"3/24/1939",152,566,"B",117,37,"April_1",485
"FIELD","2A03A",1310,"3/25/1939",51,124,NA,91,24,"April_1",137
"GROUSE MOUNTAIN","3A01",1126,"3/25/1939",328,1659,NA,143,51,"April_1",1160
"FERGUSON","2D02",929,"3/26/1939",145,546,NA,99,38,"April_1",550
"POWELL RIVER (LOWER)","3A05",882,"3/26/1939",203,853,NA,131,42,"April_1",651
"SINCLAIR PASS","2C01",1374,"3/27/1939",41,102,NA,94,25,"April_1",109
"FERNIE","2C02",1070,"3/27/1939",58,208,NA,219,36,"April_1",95
"MCCULLOCH","2F03",1266,"3/27/1939",58,178,NA,135,31,"April_1",132
"GLACIER","2A02",1249,"3/28/1939",180,683,NA,102,38,"April_1",670
"NELSON","2D04",952,"3/28/1939",99,338,NA,101,34,"April_1",334
"BLUE RIVER","1E01",690,"3/29/1939",97,290,NA,80,30,"April_1",362
"REVELSTOKE","2B01",560,"3/29/1939",89,361,NA,241,41,"April_1",150
"FARRON","2B02",1220,"3/29/1939",63,218,NA,60,35,"April_1",364
"GERRARD","2D01",1620,"3/29/1939",124,282,NA,NA,23,"April_1",NA
"SANDON","2D03",1072,"3/29/1939",81,325,NA,98,40,"April_1",330
"KIMBERLEY","2C03",1160,"3/30/1939",25,147,NA,NA,59,"April_1",NA
"POWELL RIVER","3A04",670,"3/31/1939",152,602,NA,NA,40,"April_1",NA
"POWELL RIVER (UPPER)","3A02",1002,"4/1/1939",NA,NA,"N",NA,NA,"April_1",NA
"POWELL RIVER","3A03",940,"4/2/1939",292,1333,NA,NA,46,"April_1",NA
"FIELD","2A03A",1310,"1/29/1940",30,46,NA,37,15,"February_1",123
"FERNIE","2C02",1070,"1/29/1940",15,43,NA,34,29,"February_1",128
"NELSON","2D04",952,"1/29/1940",66,124,NA,47,19,"February_1",264
"TROUT CREEK","2F01",1428,"1/29/1940",28,56,NA,44,20,"February_1",127
"MCCULLOCH","2F03",1266,"1/29/1940",33,63,NA,54,19,"February_1",117
"GLACIER","2A02",1249,"1/30/1940",102,284,NA,61,28,"February_1",468
"FARRON","2B02",1220,"1/30/1940",56,117,NA,43,21,"February_1",269
"REVELSTOKE","2B01",560,"2/1/1940",51,89,NA,47,17,"February_1",190
"GLACIER","2A02",1249,"2/27/1940",160,345,NA,59,22,"March_1",585
"FARRON","2B02",1220,"2/27/1940",104,244,NA,77,23,"March_1",317
"MCCULLOCH","2F03",1266,"2/27/1940",56,112,NA,77,20,"March_1",146
"CANOE RIVER","2A01",1040,"2/28/1940",18,30,NA,NA,17,"March_1",NA
"FIELD","2A03A",1310,"2/28/1940",38,165,NA,112,43,"March_1",147
"FERNIE","2C02",1070,"2/28/1940",63,114,NA,79,18,"March_1",145
"NELSON","2D04",952,"2/28/1940",99,224,NA,68,23,"March_1",328
"TROUT CREEK","2F01",1428,"2/28/1940",51,97,NA,62,19,"March_1",156
"REVELSTOKE","2B01",560,"2/29/1940",71,163,NA,71,23,"March_1",228
"BLUE RIVER","1E01",690,"3/1/1940",NA,NA,"N",NA,NA,"March_1",NA
"KIMBERLEY","2C03",1160,"3/1/1940",NA,NA,"N",NA,NA,"March_1",NA
"SUMMERLAND RESERVOIR","2F02",1304,"3/23/1940",61,168,"B",85,28,"April_1",197
"CANOE RIVER","2A01",1040,"3/24/1940",0,0,"B",NA,NA,"April_1",NA
"FERGUSON","2D02",929,"3/24/1940",102,406,"B",74,40,"April_1",550
"TROUT CREEK","2F01",1428,"3/24/1940",36,84,"B",52,23,"April_1",161
"ABERDEEN LAKE","1F01A",1262,"3/27/1940",36,112,NA,90,31,"April_1",124
"SINCLAIR PASS","2C01",1374,"3/27/1940",18,58,NA,53,32,"April_1",109
"MISSION CREEK","2F05",1780,"3/27/1940",145,455,NA,94,31,"April_1",485
"GROUSE MOUNTAIN","3A01",1126,"3/27/1940",89,460,NA,40,52,"April_1",1160
"GLACIER","2A02",1249,"3/28/1940",132,414,NA,62,31,"April_1",670
"INVERMERE","2A04A",1070,"3/28/1940",8,33,NA,NA,41,"April_1",NA
"FERNIE","2C02",1070,"3/28/1940",20,66,NA,69,33,"April_1",95
"POWELL RIVER","3A04",670,"3/28/1940",0,0,NA,NA,NA,"April_1",NA
"FIELD","2A03A",1310,"3/29/1940",5,8,NA,6,16,"April_1",137
"KIMBERLEY","2C03",1160,"3/29/1940",15,41,NA,NA,27,"April_1",NA
"NELSON","2D04",952,"3/29/1940",53,173,NA,52,33,"April_1",334
